Castellterçol	41.75148277	2.1205347	topo1	Castellterçol	1
Castellserà	41.7469	0.98695869	topo1	Castellserà	1
Castell de Mur	42.0925237	0.8764013	topo1	Castell de Mur	1
Castellbell i el Vilar	41.63036571	1.86108834	topo1	Castellbell i el Vilar	1
Castellnou de Bages	41.83428246	1.83737149	topo1	Castellnou de Bages	1
Castellfollit del Boix	41.66675844	1.68367488	topo1	Castellfollit del Boix	1
Castelldefels	41.28047213	1.97701006	topo1	Castelldefels	1
Castellolí	41.59835563	1.70068389	topo1	Castellolí	1
Castellví de Rosanes	41.44878533	1.90029141	topo1	Castellví de Rosanes	1
Castellvell del Camp	41.18117702	1.09626892	topo1	Castellvell del Camp	1
Castelló d'Empúries	42.25832371	3.07443446	topo1	Castelló d Empúries	1
Castellví de la Marca	41.32669887	1.62095117	topo1	Castellví de la Marca	1
Castelló de Farfanya	41.82037035	0.72755023	topo1	Castelló de Farfanya	1
Catllar, el	41.17538073	1.3262508	topo1	el Catllar	0
Cava	42.3257107	1.585329	topo1	Cava	1
Cerdanyola del Vallès	41.4913073	2.14057196	topo1	Cerdanyola del Vallès	1
Cervià de les Garrigues	41.42495271	0.85896908	topo1	Cervià de les Garrigues	1
Cervera	41.66574175	1.2710202	topo1	Cervera	1
Centelles	41.79750909	2.21907094	topo1	Centelles	1
Cervià de Ter	42.0677124	2.9096502	topo1	Cervià de Ter	1
Cellera de Ter, la	41.96830412	2.6207366	topo1	la Cellera de Ter	0
Cervelló	41.39610698	1.95910428	topo1	Cervelló	1
Clariana de Cardener	41.93384623	1.62502828	topo1	Clariana de Cardener	1
Colera	42.4038487	3.1507662	topo1	Colera	1
Cistella	42.26868136	2.84727507	topo1	Cistella	1
Celrà	42.02469083	2.87894728	topo1	Celrà	1
Coll de Nargó	42.17470995	1.31577047	topo1	Coll de Nargó	1
Collbató	41.5702866	1.82816786	topo1	Collbató	1
Collsuspina	41.82560516	2.17521281	topo1	Collsuspina	1
Colomers	42.08417207	2.98759478	topo1	Colomers	1
Coma i la Pedra, la	42.17560228	1.59134934	topo1	la Coma i la Pedra	0
Corbera de Llobregat	41.41779856	1.92304224	topo1	Corbera de Llobregat	1
Corbera d'Ebre	41.07766046	0.47794793	topo1	Corbera d Ebre	1
Colldejou	41.09950399	0.88752057	topo1	Colldejou	1
Cornellà de Llobregat	41.35574736	2.07053455	topo1	Cornellà de Llobregat	1
Corbins	41.69062158	0.69298979	topo1	Corbins	1
Conca de Dalt	42.24443678	0.97163744	topo1	Conca de Dalt	1
Conesa	41.51858251	1.29120736	topo1	Conesa	1
Constantí	41.15385441	1.21259242	topo1	Constantí	1
Copons	41.63711085	1.51870774	topo1	Copons	1
Cornudella de Montsant	41.26564638	0.90580747	topo1	Cornudella de Montsant	1
Cornellà del Terri	42.09002599	2.81602089	topo1	Cornellà del Terri	1
Corçà	41.98941248	3.01783507	topo1	Corçà	1
Crespià	42.18712202	2.79847983	topo1	Crespià	1
Creixell	41.16774336	1.44069294	topo1	Creixell	1
Cànoves i Samalús	41.69436199	2.35516814	topo1	Cànoves i Samalús	1
Cubelles	41.20831285	1.67237282	topo1	Cubelles	1
Cunit	41.1984463	1.63446619	topo1	Cunit	1
Cubells	41.85159098	0.95889941	topo1	Cubells	1
Das	42.36109232	1.87012501	topo1	Das	1
Cruïlles, Monells i Sant Sadurní de l'Heura	41.95630472	2.9894206	topo1	Cruïlles, Monells i Sant Sadurní de l Heura	1
Dosrius	41.59434163	2.40675596	topo1	Dosrius	1
Espluga Calba, l'	41.4950131	1.00365052	topo1	l Espluga Calba	0
Espinelves	41.86898053	2.41726617	topo1	Espinelves	1
Duesaigües	41.14611309	0.93080036	topo1	Duesaigües	1
Esparreguera	41.53901438	1.87041166	topo1	Esparreguera	1
Escala, l'	42.12479045	3.1325021	topo1	l Escala	0
Espolla	42.391085	3.00086564	topo1	Espolla	1
Espluga de Francolí, l'	41.39663893	1.1044433	topo1	l Espluga de Francolí	0
Espot	42.57581977	1.08896085	topo1	Espot	1
Deltebre	40.71822152	0.73525916	topo1	Deltebre	1
Esquirol, l'	42.03482801	2.37009534	topo1	l Esquirol	0
Estamariu	42.37306417	1.52267666	topo1	Estamariu	1
Esponellà	42.17893414	2.79507325	topo1	Esponellà	1
Esterri de Cardós	42.59266794	1.2617201	topo1	Esterri de Cardós	1
Fatarella, la	41.16236913	0.47325011	topo1	la Fatarella	0
Figueres	42.26725302	2.96079685	topo1	Figueres	1
Flix	41.23190229	0.55017016	topo1	Flix	1
Darnius	42.36855278	2.83195833	topo1	Darnius	1
Far d'Empordà, el	42.25167972	2.99623536	topo1	el Far d Empordà	0
Farrera	42.50446939	1.27309862	topo1	Farrera	1
Figuera, la	41.2161734	0.73146927	topo1	la Figuera	0
Figuerola del Camp	41.37144108	1.26496538	topo1	Figuerola del Camp	1
Flaçà	42.04707389	2.95773531	topo1	Flaçà	1
Febró, la	41.2772877	1.00397576	topo1	la Febró	0
Fogars de Montclús	41.72793648	2.44352087	topo1	Fogars de Montclús	1
Falset	41.14598035	0.82011839	topo1	Falset	1
Esterri d'Àneu	42.62864203	1.12227644	topo1	Esterri d Àneu	1
Foixà	42.0396613	2.99654599	topo1	Foixà	1
Fonollosa	41.76339325	1.66869224	topo1	Fonollosa	1
Foradada	41.87677525	1.01244569	topo1	Foradada	1
Fontanals de Cerdanya	42.38502728	1.90029028	topo1	Fontanals de Cerdanya	1
Fontcoberta	42.14295455	2.78908291	topo1	Fontcoberta	1
Fornells de la Selva	41.93092034	2.81223766	topo1	Fornells de la Selva	1
Fontanilles	42.00994757	3.10709703	topo1	Fontanilles	1
Forès	41.49446126	1.23810936	topo1	Forès	1
Figaró-Montmany	41.72350778	2.27420797	topo1	Figaró-Montmany	1
Fígols i Alinyà	42.20335296	1.3410932	topo1	Fígols i Alinyà	1
Freginals	40.67172662	0.52003634	topo1	Freginals	1
Fulleda	41.46361529	1.0243316	topo1	Fulleda	1
Fuliola, la	41.71301071	1.01852548	topo1	la Fuliola	0
Gaià	41.91649269	1.92564494	topo1	Gaià	1
Gallifa	41.69323491	2.11545262	topo1	Gallifa	1
Gandesa	41.052136	0.43921435	topo1	Gandesa	1
Garcia	41.13698576	0.65012538	topo1	Garcia	1
Garidells, els	41.20736643	1.24672915	topo1	els Garidells	0
Esplugues de Llobregat	41.37752166	2.08800477	topo1	Esplugues de Llobregat	1
Garriga, la	41.68517517	2.28570059	topo1	la Garriga	0
Garrigoles	42.10407368	3.02077174	topo1	Garrigoles	1
Garriguella	42.34228001	3.06427414	topo1	Garriguella	1
Garrigàs	42.19342359	2.95407856	topo1	Garrigàs	1
Gelida	41.44076893	1.86372445	topo1	Gelida	1
Gavà	41.30315785	2.00333567	topo1	Gavà	1
Ger	42.41076591	1.84421361	topo1	Ger	1
Godall	40.65506982	0.46973434	topo1	Godall	1
Girona	41.98319092	2.82466634	topo1	Girona	1
Ginestar	41.04184318	0.63435551	topo1	Ginestar	1
Golmés	41.63253599	0.93251836	topo1	Golmés	1
Estany, l'	41.86897946	2.11230779	topo1	l Estany	0
Gombrèn	42.24832693	2.09099664	topo1	Gombrèn	1
Granada, la	41.37841979	1.71892363	topo1	la Granada	0
Granadella, la	41.35552	0.66484227	topo1	la Granadella	0
Granera	41.72544093	2.05666706	topo1	Granera	1
Granyena de Segarra	41.62351079	1.24685747	topo1	Granyena de Segarra	1
Forallac	41.96049386	3.05609612	topo1	Forallac	1
Granollers	41.60795645	2.28754997	topo1	Granollers	1
Gratallops	41.19333264	0.7767976	topo1	Gratallops	1
Franqueses del Vallès, les	41.62892348	2.300532	topo1	les Franqueses del Vallès	0
Fortià	42.24200839	3.04070454	topo1	Fortià	1
Gavet de la Conca	42.12336667	0.92040964	topo1	Gavet de la Conca	1
Font-rubí	41.41394879	1.65311966	topo1	Font-rubí	1
Galera, la	40.68163899	0.46337351	topo1	la Galera	0
Guils de Cerdanya	42.44853757	1.87940583	topo1	Guils de Cerdanya	1
Gurb	41.94004888	2.2444015	topo1	Gurb	1
Guixers	42.13274231	1.66625669	topo1	Guixers	1
Guingueta d'Àneu, la	42.59494465	1.13133123	topo1	la Guingueta d Àneu	0
Hospitalet de Llobregat, l'	41.35969846	2.09972537	topo1	l Hospitalet de Llobregat	0
Gualta	42.02850116	3.10355184	topo1	Gualta	1
Gualba	41.73155161	2.50188975	topo1	Gualba	1
Hostalets de Pierola, els	41.53475862	1.76937247	topo1	els Hostalets de Pierola	0
Isona i Conca Dellà	42.11776356	1.04878348	topo1	Isona i Conca Dellà	1
Hostalric	41.74599253	2.63683667	topo1	Hostalric	1
Horta de Sant Joan	40.95390522	0.31680018	topo1	Horta de Sant Joan	1
Igualada	41.57868135	1.61722895	topo1	Igualada	1
Guimerà	41.56430098	1.18519725	topo1	Guimerà	1
Gósol	42.23695691	1.66020328	topo1	Gósol	1
Isòvol	42.39834312	1.83861654	topo1	Isòvol	1
Ivars d'Urgell	41.68291349	0.98567646	topo1	Ivars d Urgell	1
Ivars de Noguera	41.85017882	0.58587964	topo1	Ivars de Noguera	1
Jafre	42.07197571	3.01061708	topo1	Jafre	1
Josa i Tuixén	42.23063594	1.56754185	topo1	Josa i Tuixén	1
Jorba	41.60189937	1.54743913	topo1	Jorba	1
