CUSEC,vivienda turistica,plazas,plazas por vivienda turistica,Porcentaje vivienda turistica,PERIODO,PROV,MUN_LITERAL
0801910043,37,190,5.135135,3.3065238,2025M11,8,Barcelona
0801910040,6,23,3.8333333,0.66225165,2025M11,8,Barcelona
0801907031,0,0,0.0,0.0,2025M11,8,Barcelona
0801907033,2,8,4.0,0.30674848,2025M11,8,Barcelona
0801910041,3,14,4.6666665,0.3783102,2025M11,8,Barcelona
0801910020,2,8,4.0,0.28612304,2025M11,8,Barcelona
0801907035,0,0,0.0,0.0,2025M11,8,Barcelona
0801910037,0,0,0.0,0.0,2025M11,8,Barcelona
0801910036,3,12,4.0,0.48622367,2025M11,8,Barcelona
0801907037,1,6,6.0,0.14347202,2025M11,8,Barcelona
0801910035,0,0,0.0,0.0,2025M11,8,Barcelona
0801910031,0,0,0.0,0.0,2025M11,8,Barcelona
0801910033,0,0,0.0,0.0,2025M11,8,Barcelona
0801907041,4,17,4.25,0.5681818,2025M11,8,Barcelona
0801907043,0,0,0.0,0.0,2025M11,8,Barcelona
0801910026,2,8,4.0,0.26666668,2025M11,8,Barcelona
0801910028,0,0,0.0,0.0,2025M11,8,Barcelona
0801910029,1,5,5.0,0.15698586,2025M11,8,Barcelona
0801910025,3,13,4.3333335,0.42796007,2025M11,8,Barcelona
0801910024,4,20,5.0,0.5532504,2025M11,8,Barcelona
0801910021,1,4,4.0,0.15552099,2025M11,8,Barcelona
0801907049,2,8,4.0,0.33167496,2025M11,8,Barcelona
0801910023,4,18,4.5,0.53908354,2025M11,8,Barcelona
0801910022,3,12,4.0,0.43227667,2025M11,8,Barcelona
0801909037,0,0,0.0,0.0,2025M11,8,Barcelona
0801910017,1,4,4.0,0.11820331,2025M11,8,Barcelona
0801910011,18,72,4.0,2.8301888,2025M11,8,Barcelona
0801907055,0,0,0.0,0.0,2025M11,8,Barcelona
0801907057,1,4,4.0,0.15243903,2025M11,8,Barcelona
0801910012,7,28,4.0,0.79726654,2025M11,8,Barcelona
0801910006,7,40,5.714286,0.7592191,2025M11,8,Barcelona
0801910008,20,101,5.05,2.0576131,2025M11,8,Barcelona
0801907061,4,14,3.5,0.72727275,2025M11,8,Barcelona
0801910007,5,20,4.0,0.74626863,2025M11,8,Barcelona
0801910005,1,4,4.0,0.1293661,2025M11,8,Barcelona
0801910004,0,0,0.0,0.0,2025M11,8,Barcelona
0801907063,0,0,0.0,0.0,2025M11,8,Barcelona
0801910003,0,0,0.0,0.0,2025M11,8,Barcelona
0801910002,5,36,7.2,0.57471263,2025M11,8,Barcelona
0801907067,3,12,4.0,0.42918456,2025M11,8,Barcelona
0801909095,2,11,5.5,0.20554985,2025M11,8,Barcelona
0801907069,1,3,3.0,0.15037595,2025M11,8,Barcelona
