Nou de Gaià, la	Tarragona	4
Nulles	Tarragona	5
Odèn	Lleida	10
Ogassa	Girona	6
Olesa de Bonesvalls	Barcelona	4
Oliana	Lleida	7
Oliola	Lleida	2
Olius	Lleida	2
Olivella	Barcelona	211
Olost	Barcelona	4
Olot	Girona	103
Olèrdola	Barcelona	23
Omellons, els	Lleida	1
Omells de na Gaia, els	Lleida	5
Ordis	Girona	9
Organyà	Lleida	21
Oristà	Barcelona	3
Os de Balaguer	Lleida	12
Osor	Girona	18
Ossó de Sió	Lleida	1
Pacs del Penedès	Barcelona	2
Palafolls	Barcelona	80
Palafrugell	Girona	2786
Palamós	Girona	1633
Palau de Santa Eulàlia	Girona	6
Palau-sator	Girona	31
Palau-saverdera	Girona	98
Palau-solità i Plegamans	Barcelona	5
Pallaresos, els	Tarragona	3
Pallejà	Barcelona	27
Palma d'Ebre, la	Tarragona	1
Palol de Revardit	Girona	4
Pals	Girona	1421
Papiol, el	Barcelona	3
Pardines	Girona	10
Parlavà	Girona	20
Passanant i Belltall	Tarragona	3
Pau	Girona	36
Paüls	Tarragona	10
Pedret i Marzà	Girona	5
Penelles	Lleida	7
Pera, la	Girona	16
Perafita	Barcelona	8
Peralada	Girona	59
Peramola	Lleida	10
Perelló, el	Tarragona	189
Piera	Barcelona	15
Piles, les	Tarragona	4
Pineda de Mar	Barcelona	859
Pinell de Brai, el	Tarragona	8
Pinell de Solsonès	Lleida	2
Pla de Santa Maria, el	Tarragona	2
Pla del Penedès, el	Barcelona	5
Planes d'Hostoles, les	Girona	36
Planoles	Girona	15
Plans de Sió, els	Lleida	4
Pobla de Claramunt, la	Barcelona	5
Pobla de Cérvoles, la	Lleida	6
Pobla de Mafumet, la	Tarragona	3
Pobla de Massaluca, la	Tarragona	3
Pobla de Montornès, la	Tarragona	60
Pobla de Segur, la	Lleida	51
Poboleda	Tarragona	16
Polinyà	Barcelona	2
Pont d'Armentera, el	Tarragona	1
Pont de Bar, el	Lleida	12
Pont de Molins	Girona	7
Pont de Suert, el	Lleida	53
Pont de Vilomara i Rocafort, el	Barcelona	14
Pontils	Tarragona	3
Pontons	Barcelona	10
Ponts	Lleida	7
Pontós	Girona	8
Porqueres	Girona	14
Porrera	Tarragona	9
Port de la Selva, el	Girona	632
Portbou	Girona	47
Pradell de la Teixeta	Tarragona	2
Prades	Tarragona	54
Prat de Comte	Tarragona	3
Prat de Llobregat, el	Barcelona	20
Pratdip	Tarragona	78
Prats de Lluçanès	Barcelona	1
Prats de Rei, els	Barcelona	2
Prats i Sansor	Lleida	23
Preixana	Lleida	5
Preixens	Lleida	4
Premià de Dalt	Barcelona	58
Premià de Mar	Barcelona	81
Preses, les	Girona	14
Prullans	Lleida	12
Puigcerdà	Girona	291
Puigdàlber	Barcelona	1
Puiggròs	Lleida	2
Puigpelat	Tarragona	6
Puigverd d'Agramunt	Lleida	1
Puigverd de Lleida	Lleida	1
Pujalt	Barcelona	4
Quart	Girona	6
Queralbs	Girona	23
Querol	Tarragona	7
Rabós	Girona	19
Rajadell	Barcelona	1
Rasquera	Tarragona	27
Regencós	Girona	21
Rellinars	Barcelona	5
Renau	Tarragona	3
Reus	Tarragona	186
Rialp	Lleida	82
Riba, la	Tarragona	4
Riba-roja d'Ebre	Tarragona	15
Ribera d'Ondara	Lleida	5
Ribera d'Urgellet	Lleida	21
Ribes de Freser	Girona	76
Riells i Viabrea	Girona	18
Riera de Gaià, la	Tarragona	33
Riner	Lleida	15
Ripoll	Girona	39
Ripollet	Barcelona	6
Riu de Cerdanya	Lleida	7
Riudarenes	Girona	29
Riudaura	Girona	7
Riudecanyes	Tarragona	24
Riudecols	Tarragona	7
Riudellots de la Selva	Girona	3
Riudoms	Tarragona	21
Riumors	Girona	12
Roca del Vallès, la	Barcelona	14
Rocafort de Queralt	Tarragona	6
Roda de Berà	Tarragona	545
Roda de Ter	Barcelona	20
Rodonyà	Tarragona	2
Roquetes	Tarragona	12
Roses	Girona	5347
Rosselló	Lleida	1
Rourell, el	Tarragona	2
Rubió	Barcelona	4
Rubí	Barcelona	16
Rupit i Pruit	Barcelona	16
Rupià	Girona	25
Ràpita, la	Tarragona	695
Sabadell	Barcelona	68
Sales de Llierca	Girona	8
Sallent	Barcelona	2
Salomó	Tarragona	29
Salou	Tarragona	7159
Salt	Girona	5
Salàs de Pallars	Lleida	19
Sant Adrià de Besòs	Barcelona	278
Sant Agustí de Lluçanès	Barcelona	3
Sant Andreu Salou	Girona	3
Sant Andreu de Llavaneres	Barcelona	192
Sant Andreu de la Barca	Barcelona	3
Sant Aniol de Finestres	Girona	13
Sant Antoni de Vilamajor	Barcelona	23
Sant Bartomeu del Grau	Barcelona	4
Sant Boi de Llobregat	Barcelona	21
Sant Boi de Lluçanès	Barcelona	7
Sant Cebrià de Vallalta	Barcelona	144
Sant Celoni	Barcelona	6
Sant Climent Sescebes	Girona	10
Sant Cugat Sesgarrigues	Barcelona	4
Sant Cugat del Vallès	Barcelona	97
Sant Esteve Sesrovires	Barcelona	8
Sant Esteve de Palautordera	Barcelona	12
Sant Esteve de la Sarga	Lleida	3
Sant Feliu Sasserra	Barcelona	4
Sant Feliu de Buixalleu	Girona	13
Sant Feliu de Codines	Barcelona	9
Sant Feliu de Guíxols	Girona	1064
Sant Feliu de Llobregat	Barcelona	15
Sant Feliu de Pallerols	Girona	20
Sant Ferriol	Girona	10
Sant Fost de Campsentelles	Barcelona	23
Sant Fruitós de Bages	Barcelona	4
Sant Gregori	Girona	18
Sant Guim de Freixenet	Lleida	2
Sant Guim de la Plana	Lleida	1
Sant Hilari Sacalm	Girona	52
Sant Hipòlit de Voltregà	Barcelona	2
Sant Iscle de Vallalta	Barcelona	19
Sant Jaume d'Enveja	Tarragona	156
Sant Jaume de Llierca	Girona	12
Sant Jaume dels Domenys	Tarragona	23
Sant Joan Despí	Barcelona	1
Sant Joan de Mollet	Girona	1
Sant Joan de Vilatorrada	Barcelona	4
Sant Joan de les Abadesses	Girona	73
Sant Joan les Fonts	Girona	17
Sant Jordi Desvalls	Girona	17
Sant Julià de Ramis	Girona	16
Sant Julià de Vilatorta	Barcelona	9
Sant Julià del Llor i Bonmatí	Girona	8
Sant Just Desvern	Barcelona	36
Sant Llorenç Savall	Barcelona	7
Sant Llorenç d'Hortons	Barcelona	3
Sant Llorenç de Morunys	Lleida	44
Sant Llorenç de la Muga	Girona	12
Sant Martí Sarroca	Barcelona	15
Sant Martí Sesgueioles	Barcelona	2
Sant Martí Vell	Girona	10
Sant Martí d'Albars	Barcelona	1
Sant Martí de Centelles	Barcelona	1
Sant Martí de Llémena	Girona	8
Sant Martí de Riucorb	Lleida	9
Sant Martí de Tous	Barcelona	7
Sant Mateu de Bages	Barcelona	2
Sant Miquel de Campmajor	Girona	3
Sant Miquel de Fluvià	Girona	19
Sant Mori	Girona	19
Sant Pau de Segúries	Girona	18
Sant Pere Pescador	Girona	185
Sant Pere Sallavinera	Barcelona	1
Sant Pere de Ribes	Barcelona	408
Sant Pere de Torelló	Barcelona	11
Sant Pere de Vilamajor	Barcelona	25
Sant Pol de Mar	Barcelona	281
Sant Quintí de Mediona	Barcelona	6
Sant Quirze Safaja	Barcelona	14
Sant Quirze de Besora	Barcelona	7
Sant Quirze del Vallès	Barcelona	5
Sant Ramon	Lleida	5
