N_EXPEDIENT,CODI_DISTRICTE,NOM_DISTRICTE,CODI_BARRI,NOM_BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,NUMERO_REGISTRE_GENERALITAT,NUMERO_PLACES,LONGITUD_X,LATITUD_Y
06-2023-0104,06,GRACIA,31,la Vila de Gràcia,Carrer,LLIBERTAT,1,33,B,,,,,,1,2,HUTB-072881,2,"2,16188013979245","41,4002271062554"
06-2023-0142,06,GRACIA,31,la Vila de Gràcia,Carrer,RIERA DE SANT MIQUEL,2,38,,,,,,,1,1,HUTB-072512,5,"2,15656879740581","41,3979687767619"
06-2023-0145,06,GRACIA,31,la Vila de Gràcia,Carrer,RIERA DE SANT MIQUEL,2,38,,,,,,,1,2,HUTB-072514,5,"2,15656879740581","41,3979687767619"
06-2023-0146,06,GRACIA,31,la Vila de Gràcia,Carrer,RIERA DE SANT MIQUEL,2,38,,,,,,,2,,HUTB-072515,5,"2,15656879740581","41,3979687767619"
06-2023-0151,06,GRACIA,31,la Vila de Gràcia,Carrer,RIERA DE SANT MIQUEL,2,38,,,,,,,BJ,,HUTB-072516,6,"2,15656879740581","41,3979687767619"
06-2023-0157,06,GRACIA,31,la Vila de Gràcia,Carrer,CONGOST,2,26,,,,,,,BJ,,HUTB-071287,11,"2,15870700926179","41,4063708221908"
06-2023-0189,06,GRACIA,31,la Vila de Gràcia,Carrer,DOCTOR RIZAL,2,20,,,,,,,2,4,HUTB-072517,3,"2,1557368572502","41,3974269908029"
06-2023-0191,06,GRACIA,31,la Vila de Gràcia,Carrer,SANT PERE MARTIR,2,4,,,,,,,1,1,HUTB-072518,5,"2,15824181968064","41,3986112916916"
06-2023-0214,06,GRACIA,31,la Vila de Gràcia,Travessera,GRACIA,2,164,,,,,,,2,1,HUTB-072550,3,"2,15771026399711","41,4012321114378"
06-2023-0218,06,GRACIA,31,la Vila de Gràcia,Passeig,GRACIA,2,126,,,,,,,1,,HUTB-072511,3,"2,15836860748718","41,3978475463191"
06-2023-0225,06,GRACIA,31,la Vila de Gràcia,Passeig,GRACIA,2,126,,,,,,,3,,HUTB-072576,3,"2,15836860748718","41,3978475463191"
06-2023-0226,06,GRACIA,31,la Vila de Gràcia,Passeig,GRACIA,2,126,,,,,,,4,,HUTB-072575,3,"2,15836860748718","41,3978475463191"
06-2023-0242,06,GRACIA,31,la Vila de Gràcia,Carrer,TORRENT DE L'OLLA,1,203,,,,,,,3,9,,1,"2,1517745688615","41,4066838334693"
06-2023-0250,06,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Carrer,VENTALLO,2,48,,,,,,,EN,3,HUTB-073262,4,"2,16512058331478","41,4083817559893"
06-2023-0252,06,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Carrer,VENTALLO,2,48,,,,,,,AT,2,HUTB-073263,11,"2,16512058331478","41,4083817559893"
06-2023-0253,06,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Carrer,VENTALLO,2,48,,,,,,,2,3,HUTB-073264,4,"2,16512058331478","41,4083817559893"
06-2023-0254,06,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Carrer,VENTALLO,2,48,,,,,,,3,4,HUTB-073265,4,"2,16512058331478","41,4083817559893"
06-2023-0258,06,GRACIA,31,la Vila de Gràcia,Carrer,ASTURIES,1,87,,,,,,,1,2,HUTB-073420,5,"2,15669572238795","41,4048815916239"
06-2023-0259,06,GRACIA,31,la Vila de Gràcia,Carrer,ASTURIES,1,87,,,,,,,PR,1,HUTB-073422,3,"2,15669572238795","41,4048815916239"
06-2023-0260,06,GRACIA,31,la Vila de Gràcia,Carrer,ASTURIES,1,87,,,,,,,AT,1,HUTB-073423,3,"2,15669572238795","41,4048815916239"
06-2023-0263,06,GRACIA,31,la Vila de Gràcia,Carrer,ASTURIES,1,87,,,,,,,AT,2,HUTB-073424,4,"2,15669572238795","41,4048815916239"
06-2023-0264,06,GRACIA,31,la Vila de Gràcia,Carrer,ASTURIES,1,87,,,,,,,BJ,2,HUTB-073426,4,"2,15669572238795","41,4048815916239"
06-2023-0265,06,GRACIA,31,la Vila de Gràcia,Carrer,ASTURIES,1,87,,,,,,,BJ,1,HUTB-073428,3,"2,15669572238795","41,4048815916239"
06-2023-0266,06,GRACIA,31,la Vila de Gràcia,Carrer,ASTURIES,1,87,,,,,,,3,2,HUTB-073429,5,"2,15669572238795","41,4048815916239"
06-2023-0268,06,GRACIA,31,la Vila de Gràcia,Carrer,ASTURIES,1,87,,,,,,,2,2,HUTB-073432,5,"2,15669572238795","41,4048815916239"
06-2023-0298,06,GRACIA,31,la Vila de Gràcia,Carrer,TORRENT DE L'OLLA,1,203,,,,,,,3,9,HUTB-074612,3,"2,1517745688615","41,4066838334693"
06-2023-0330,06,GRACIA,31,la Vila de Gràcia,Carrer,CORSEGA,1,351,,,,,,,SA,,HUTB-074905,8,"2,16165862275082","41,3984278227048"
06-2023-0338,06,GRACIA,31,la Vila de Gràcia,Carrer,ROSA PUIG-RODON PLA,2,10,,,,,,,3,1,HUTB-074928,5,"2,15314798906012","41,4032651099077"
06-2023-0339,06,GRACIA,31,la Vila de Gràcia,Carrer,ROSA PUIG-RODON PLA,2,10,,,,,,,1,2,HUTB-075075,4,"2,15314798906012","41,4032651099077"
06-2023-0340,06,GRACIA,31,la Vila de Gràcia,Carrer,ROSA PUIG-RODON PLA,2,10,,,,,,,1,1,HUTB-075077,5,"2,15314798906012","41,4032651099077"
06-2023-0341,06,GRACIA,31,la Vila de Gràcia,Carrer,ROSA PUIG-RODON PLA,2,10,,,,,,,3,2,HUTB-075074,6,"2,15314798906012","41,4032651099077"
06-2023-0355,06,GRACIA,30,la Salut,Carrer,ALBIGESOS,2,16,,,,,,,1,1,HUTB-075229,7,"2,14990973258968","41,4100630046734"
06-2023-0364,06,GRACIA,31,la Vila de Gràcia,Carrer,RIERA DE SANT MIQUEL,2,74,,,,,,,3,2,HUTB-075554,5,"2,15415468522197","41,3987291938595"
06-2023-0365,06,GRACIA,31,la Vila de Gràcia,Carrer,RIERA DE SANT MIQUEL,2,74,,,,,,,3,1,HUTB-075553,4,"2,15415468522197","41,3987291938595"
06-2023-0366,06,GRACIA,31,la Vila de Gràcia,Carrer,RIERA DE SANT MIQUEL,2,74,,,,,,,2,2,HUTB-075543,5,"2,15415468522197","41,3987291938595"
