41.1894,1.45397	4313101001	1.3347571
42.2906,3.17552	1715201006	4.6480145
41.98874,3.01661	1705701001	3.2440057
41.0752,1.09656	4303802006	4.783163
41.60421,2.62854	0823501002	3.6515055
42.15623,2.83045	1721801001	3.6697247
41.58278,0.82355	2523001001	0.36133695
41.37687,2.14437	0801903049	1.3904983
41.1951,1.60909	4303703002	1.7948718
42.37068,3.15905	1709201001	7.2934976
42.3604,3.15168	1709201003	2.4489796
41.46715,1.78467	0816101004	0.399361
41.06725,1.07868	4303802003	3.605313
41.11519,1.24883	4314805003	2.0868113
41.2501,1.79779	0823101014	3.3296337
42.04844,3.18659	1719901003	11.177807
42.31808,2.77976	1717101001	2.2988505
41.21922,1.71148	0830701009	0.2762431
41.19971,1.62231	4305101002	1.0887316
42.12559,3.13299	1706201001	8.514336
41.69604,2.83175	1709501003	3.4930587
41.91304,3.16281	1711702001	1.0708402
41.15143,1.40162	4315301004	0.7428041
41.20177,1.56917	4303701001	0.8
41.29821,1.77557	0814801002	4.5493565
41.62001,2.66645	0803503004	0.9211873
41.70426,2.87738	1709502003	11.281337
42.70218,0.91785	2502501001	15.042017
41.85161,3.12628	1711803003	1.7226529
41.86668,3.07669	1703401001	1.628854
41.79905,1.95203	0801001001	0.15455951
41.37326,2.12456	0810102034	1.7278618
41.8049,3.05926	1704801002	5.21327
42.24624,3.19156	1715202003	14.349944
42.11465,3.13856	1706201005	7.467773
42.37107,3.15893	1709201001	7.2934976
41.21573,1.72859	0830702001	0.83160084
42.19577,3.05596	1722501001	2.7027028
42.37575,3.15781	1709201001	7.2934976
40.91074,0.80658	4301301003	12.3338
42.11364,2.75379	1701502003	1.1070111
41.35908,2.1131	0810101013	1.2
41.39686,2.20051	0801910057	1.8592298
41.39698,2.13271	0801905024	0.0
41.63432,2.69222	0816301003	2.2460938
41.06828,1.06699	4303802003	3.605313
41.18269,1.5283	4316303003	1.3146969
41.06093,1.03062	4303802010	3.525741
41.26195,1.77713	0823101003	0.31779662
42.71813,0.91629	2502501001	15.042017
41.27016,2.02867	0808901008	1.0701545
41.23405,1.78298	0823101015	1.7975402
41.71266,0.61797	2525101001	0.0
42.10294,3.13852	1706201002	6.0994363
41.81772,2.99974	1718101001	1.0752689
41.95273,3.21845	1701301001	14.621272
42.00924,2.60302	1700701001	1.0108303
41.80375,3.05117	1704801005	5.108499
42.16499,0.89259	2523402001	0.8434864
41.28481,1.7638	0814801002	4.5493565
41.01112,0.93574	4309201007	5.7589984
41.06719,1.07906	4303802003	3.605313
42.36191,3.15169	1709201003	2.4489796
41.23332,1.79212	0827001003	2.2130015
42.04966,3.193	1719901003	11.177807
41.18777,1.57266	4303702001	2.9788995
41.44104,2.18847	0801909037	0.0
41.77057,2.2497	0801401001	0.84745765
41.62489,2.69156	0816301002	1.5892421
41.65636,2.71196	0815501005	1.7711172
41.95776,3.20687	1701301001	14.621272
41.38643,2.17565	0801901050	4.112554
41.29544,1.02708	4303901001	2.2222223
41.62161,2.68808	0816301009	0.7988381
41.69995,2.85031	1709502001	4.187328
41.06314,1.1597	4390501001	10.225656
42.26825,3.17835	1715201004	1.0025063
42.2407,3.12487	1704701003	11.263218
41.40667,2.17178	0801902045	1.5706806
41.63853,2.39452	0810601002	0.0
41.96888,3.20783	1701301001	14.621272
42.10897,3.16769	1706201005	7.467773
41.55976,2.5073		
41.98364,2.8239	1707901001	10.451045
41.40627,2.14509	0801905088	0.0
42.19131,3.08026	1717801001	4.268293
