Carrer Galceran Marquet, 8, 08005, Barcelona	41.3998158	2.20385806	address	Carrer de Galceran Marquet 26 B, Barcelona
Carrer Ganduxer, 50, 08021, Barcelona	41.3959892	2.13686894	address	Carrer de Ganduxer 50, Barcelona
Carrer Galileu, 151-153, 08028, Barcelona	41.38020836	2.13392548	address	Carrer de Galileu 151-153, Barcelona
Passeig Garcia Faria, 73, 08019, Barcelona	41.40912336	2.21995613	address	Passeig de Garcia Fària 103, Barcelona
Carrer GALCERAN MARQUET, 8, 08005, Barcelona	41.3998158	2.20385806	address	Carrer de Galceran Marquet 26 B, Barcelona
Carrer Ganduxer, 74-76, 08021, Barcelona	41.39838203	2.1350146	address	Carrer de Ganduxer 74-76, Barcelona
Passeig Garcia Faria, 77, 08019, Barcelona	41.40912336	2.21995613	address	Passeig de Garcia Fària 103, Barcelona
Passeig Garcia Faria, 75, 08019, Barcelona	41.40912336	2.21995613	address	Passeig de Garcia Fària 103, Barcelona
Passeig Garcia Faria, 81, 08019, Barcelona	41.40912336	2.21995613	address	Passeig de Garcia Fària 103, Barcelona
Passeig de Garcia Fària, 75, 08019, Barcelona	41.40912336	2.21995613	address	Passeig de Garcia Fària 103, Barcelona
Avinguda GAUDI, 16, 08025, Barcelona	41.40546958	2.17458191	address	Avinguda de Gaudí 16, Barcelona
Passeig GARCIA FARIA, 75, 08019, Barcelona	41.40912336	2.21995613	address	Passeig de Garcia Fària 103, Barcelona
Avinguda GAUDI, 8, 08025, Barcelona	41.40515531	2.17458628	address	Avinguda de Gaudí 8, Barcelona
Avinguda GAUDI, 26-28, 08025, Barcelona	41.40662567	2.17456468	address	Avinguda de Gaudí 26-28, Barcelona
Passeig Garcia Faria, 57, 08019, Barcelona	41.40912336	2.21995613	address	Passeig de Garcia Fària 103, Barcelona
Passeig Garcia Faria, 73-75, 08019, Barcelona	41.40912336	2.21995613	address	Passeig de Garcia Fària 103, Barcelona
Avinguda Gaudí, 2, 08025, Barcelona	41.40491243	2.17458916	address	Avinguda de Gaudí 2-4, Barcelona
Passeig Garcia Faria, 69-71, 08019, Barcelona	41.40912336	2.21995613	address	Passeig de Garcia Fària 103, Barcelona
Avinguda GAUDI, 36, 08025, Barcelona	41.40705289	2.17455996	address	Avinguda de Gaudí 36, Barcelona
Avinguda de Gaudí, 66, 08025, Barcelona	41.41050894	2.17418769	address	Avinguda de Gaudí 81 B, Barcelona
Avinguda Gaudí, 66, 08025, Barcelona	41.41022772	2.17451401	address	Avinguda de Gaudí 66, Barcelona
Avinguda Gaudí, 14, 08025, Barcelona	41.4054085	2.17458343	address	Avinguda de Gaudí 14, Barcelona
Ronda General Mitre, 226, 08023, Barcelona	41.40649331	2.14881096	address	Ronda del General Mitre 265-267, Barcelona
Ronda del General Mitre, 7, 08017, Barcelona	41.40649331	2.14881096	address	Ronda del General Mitre 265-267, Barcelona
Carrer Gerard Piera, 46331, 08028, Barcelona	41.38262818	2.12932757	address	Carrer de Gerard Piera 19, Barcelona
Ronda GENERAL MITRE, 7, 08017, Barcelona	41.40649331	2.14881096	address	Ronda del General Mitre 265-267, Barcelona
Carrer Gignas, 17, 08002, Barcelona	41.38122285	2.18006498	address	Carrer d'en Gignàs 17-19, Barcelona
Passatge del Gira-Sol, 5, 08041, Barcelona	41.41553905	2.17883932	address	Passatge del Gira-sol 9, Barcelona
Carrer Gimbernat, 8, 08004, Barcelona	41.37178506	2.1487692	address	Carrer dels Gimbernat 8, Barcelona
Carrer Gerard Piera, 13-15, 08028, Barcelona	41.38262818	2.12932757	address	Carrer de Gerard Piera 19, Barcelona
Carrer Gavà, 8, 08014, Barcelona	41.37227774	2.14150618	address	Carrer de Gavà 8, Barcelona
Avinguda Gaudí, 64, 08025, Barcelona	41.41013204	2.17451546	address	Avinguda de Gaudí 64, Barcelona
Carrer Girona, 110, 08009, Barcelona	41.39664148	2.16893256	address	Carrer de Girona 110, Barcelona
Carrer de Girona, 97, 08009, Barcelona	41.39940797	2.16486966	address	Carrer de Girona 167-169, Barcelona
Carrer GIRONA, 103, 08009, Barcelona	41.3963589	2.16890688	address	Carrer de Girona 103, Barcelona
Carrer Girona, 15, 08010, Barcelona	41.39155788	2.17526384	address	Carrer de Girona 15, Barcelona
Carrer GIRONA, 101, 08009, Barcelona	41.39628237	2.16900838	address	Carrer de Girona 101, Barcelona
Carrer Girona, 27, 08010, Barcelona	41.39188911	2.1748268	address	Carrer de Girona 27, Barcelona
